PO_ID,Supplier,Order_Date,Delivery_Date,Item_Category,Order_Status,Quantity,Unit_Price,Negotiated_Price,Defective_Units,Compliance,Days_To_Delivery,Days_Past_Due,Cost_Savings,Delivery_Performance,Due_This_Week,Past_Due_Bucket
PO-00001,Alpha_Inc,2023-10-17,2023-10-25,Office Supplies,Cancelled,1176,20.13,17.81,0.0,Yes,8.0,347.0,2728.32,On Time,0,60+
PO-00002,Delta_Logistics,2022-04-25,2022-05-05,Office Supplies,Delivered,1509,39.32,37.34,235.0,Yes,10.0,885.0,2987.819999999995,On Time,0,60+
PO-00003,Gamma_Co,2022-01-26,2022-02-15,MRO,Delivered,910,95.51,92.26,41.0,Yes,20.0,964.0,2957.5,Delayed,0,60+
PO-00004,Beta_Supplies,2022-10-09,2022-10-28,Packaging,Delivered,1344,99.85,95.52,112.0,Yes,19.0,709.0,5819.519999999998,Delayed,0,60+
PO-00005,Delta_Logistics,2022-09-08,2022-09-20,Raw Materials,Delivered,1180,64.07,60.53,171.0,No,12.0,747.0,4177.199999999991,Delayed,0,60+
PO-00006,Epsilon_Group,2022-08-17,2022-08-29,MRO,Delivered,1145,69.21,63.57,39.0,Yes,12.0,769.0,6457.799999999993,Delayed,0,60+
PO-00007,Gamma_Co,2022-05-23,2022-06-03,MRO,Delivered,1774,51.37,47.82,96.0,No,11.0,856.0,6297.699999999995,Delayed,0,60+
PO-00008,Alpha_Inc,2022-04-15,2022-04-29,MRO,Delivered,1094,36.93,32.78,22.0,Yes,14.0,891.0,4540.0999999999985,Delayed,0,60+
PO-00009,Gamma_Co,2023-11-24,2023-11-28,Raw Materials,Partially Delivered,1688,43.93,39.89,89.0,Yes,4.0,313.0,6819.519999999999,On Time,0,60+
PO-00010,Gamma_Co,2023-07-13,2023-07-25,Raw Materials,Pending,171,76.87,70.2,8.0,Yes,12.0,439.0,1140.5700000000004,Pending,0,60+
PO-00011,Epsilon_Group,2022-03-31,2022-04-15,Raw Materials,Delivered,5000,78.49,73.68,18.0,Yes,15.0,905.0,24049.99999999994,Delayed,0,60+
PO-00012,Beta_Supplies,2023-08-28,2023-09-11,Raw Materials,Delivered,5000,88.96,86.58,115.0,Yes,14.0,391.0,11899.999999999978,Delayed,0,60+
PO-00013,Beta_Supplies,2023-03-09,2023-03-26,Electronics,Pending,5000,86.74,74.86,51.0,Yes,17.0,560.0,59399.99999999998,Pending,0,60+
PO-00014,Beta_Supplies,2022-02-02,,MRO,Delivered,5000,18.3,16.88,0.0,Yes,,0.0,7100.000000000008,On Time,0,Not Past Due
PO-00015,Delta_Logistics,2022-01-31,2022-02-18,Electronics,Pending,5000,54.5,48.45,22.0,Yes,18.0,961.0,30249.999999999985,Pending,0,60+
PO-00016,Beta_Supplies,2022-04-06,2022-04-21,Packaging,Delivered,5000,15.41,15.12,0.0,Yes,15.0,899.0,1450.0000000000045,Delayed,0,60+
PO-00017,Delta_Logistics,2022-08-12,2022-08-31,MRO,Delivered,1173,61.54,55.49,172.0,No,19.0,767.0,7096.649999999997,Delayed,0,60+
PO-00018,Epsilon_Group,2022-08-27,2022-09-04,Raw Materials,Delivered,921,51.48,50.61,0.0,Yes,8.0,763.0,801.2699999999976,On Time,0,60+
PO-00019,Gamma_Co,2023-06-02,2023-06-05,Raw Materials,Partially Delivered,1737,97.53,87.37,79.0,Yes,3.0,489.0,17647.919999999995,On Time,0,60+
PO-00020,Delta_Logistics,2023-09-09,2023-09-24,Raw Materials,Delivered,180,45.74,38.89,0.0,No,15.0,378.0,1233.0000000000002,Delayed,0,60+
PO-00021,Epsilon_Group,2022-01-28,2022-02-12,Electronics,Cancelled,1735,20.54,19.69,49.0,Yes,15.0,967.0,1474.7499999999964,On Time,0,60+
PO-00022,Delta_Logistics,2023-07-29,2023-08-11,Raw Materials,Delivered,1382,24.93,23.75,0.0,Yes,13.0,422.0,1630.7599999999995,Delayed,0,60+
PO-00023,Epsilon_Group,2022-07-23,2022-08-08,MRO,Delivered,819,80.89,77.03,29.0,Yes,16.0,790.0,3161.3399999999997,Delayed,0,60+
PO-00024,Beta_Supplies,2023-10-28,2023-11-03,Office Supplies,Partially Delivered,393,72.53,66.31,42.0,No,6.0,338.0,2444.4599999999996,On Time,0,60+
PO-00025,Beta_Supplies,2023-12-20,2024-01-01,MRO,Delivered,1565,21.3,20.09,161.0,Yes,12.0,279.0,1893.6500000000012,Delayed,0,60+
PO-00026,Epsilon_Group,2023-07-13,2023-07-24,Packaging,Delivered,1487,19.15,17.24,0.0,Yes,11.0,440.0,2840.17,Delayed,0,60+
PO-00027,Alpha_Inc,2023-03-06,2023-03-26,MRO,Delivered,855,78.2,67.16,17.0,Yes,20.0,560.0,9439.200000000006,Delayed,0,60+
PO-00028,Epsilon_Group,2022-08-14,2022-08-23,Raw Materials,Delivered,435,17.13,15.84,8.0,Yes,9.0,775.0,561.1499999999996,On Time,0,60+
PO-00029,Delta_Logistics,2023-04-05,2023-04-22,MRO,Delivered,1265,90.26,79.47,187.0,Yes,17.0,533.0,13649.350000000008,Delayed,0,60+
PO-00030,Epsilon_Group,2023-08-27,,MRO,Delivered,1005,80.55,73.31,30.0,Yes,,0.0,7276.199999999995,On Time,0,Not Past Due
PO-00031,Gamma_Co,2022-10-12,2022-10-26,Electronics,Delivered,326,18.1,15.92,0.0,No,14.0,711.0,710.6800000000005,Delayed,0,60+
PO-00032,Alpha_Inc,2022-01-07,2022-01-15,Office Supplies,Delivered,1234,17.64,15.66,26.0,Yes,8.0,995.0,2443.3200000000006,On Time,0,60+
PO-00033,Epsilon_Group,2022-06-13,2022-06-29,MRO,Delivered,509,101.27,97.82,19.0,Yes,16.0,830.0,1756.0500000000015,Delayed,0,60+
PO-00034,Alpha_Inc,2023-12-16,2023-12-17,Packaging,Delivered,1387,48.71,43.71,27.0,Yes,1.0,294.0,6935.0,On Time,0,60+
PO-00035,Alpha_Inc,2023-03-09,2023-03-17,MRO,Delivered,71,46.39,43.18,0.0,Yes,8.0,569.0,227.91000000000005,On Time,0,60+
PO-00036,Epsilon_Group,2022-12-15,2022-12-23,Office Supplies,Delivered,302,87.73,81.52,9.0,Yes,8.0,653.0,1875.4200000000023,On Time,0,60+
PO-00037,Epsilon_Group,2022-10-12,2022-10-31,Office Supplies,Pending,797,99.54,91.37,18.0,Yes,19.0,706.0,6511.490000000002,Pending,0,60+
PO-00038,Beta_Supplies,2022-06-09,2022-06-27,Office Supplies,Pending,906,101.21,90.9,94.0,Yes,18.0,832.0,9340.85999999999,Pending,0,60+
PO-00039,Epsilon_Group,2022-08-09,2022-08-23,Office Supplies,Delivered,1634,80.53,76.15,50.0,Yes,14.0,775.0,7156.919999999993,Delayed,0,60+
PO-00040,Epsilon_Group,2022-12-11,,Office Supplies,Delivered,524,46.28,39.65,14.0,Yes,,0.0,3474.1200000000013,On Time,0,Not Past Due
PO-00041,Beta_Supplies,2022-04-15,2022-04-27,Electronics,Delivered,1132,17.78,15.36,96.0,Yes,12.0,893.0,2739.440000000002,Delayed,0,60+
PO-00042,Beta_Supplies,2022-04-05,2022-04-14,Office Supplies,Delivered,560,81.14,77.87,34.0,No,9.0,906.0,1831.1999999999978,On Time,0,60+
PO-00043,Gamma_Co,2023-01-25,2023-02-02,Electronics,Delivered,1755,63.87,58.4,85.0,Yes,8.0,612.0,9599.849999999999,On Time,0,60+
PO-00044,Epsilon_Group,2022-04-10,2022-04-17,MRO,Delivered,1549,48.9,42.42,48.0,Yes,7.0,903.0,10037.519999999995,On Time,0,60+
PO-00045,Delta_Logistics,2023-01-03,2023-01-21,MRO,Delivered,749,97.07,94.16,123.0,Yes,18.0,624.0,2179.5899999999974,Delayed,0,60+
PO-00046,Alpha_Inc,2022-12-19,,Electronics,Delivered,1025,21.11,19.25,15.0,Yes,,0.0,1906.4999999999993,On Time,0,Not Past Due
PO-00047,Beta_Supplies,2023-09-11,2023-09-18,Raw Materials,Delivered,1856,59.77,50.81,191.0,Yes,7.0,384.0,16629.760000000002,On Time,0,60+
PO-00048,Epsilon_Group,2022-09-28,2022-10-14,Office Supplies,Delivered,239,11.46,11.28,4.0,Yes,16.0,723.0,43.02000000000036,Delayed,0,60+
PO-00049,Delta_Logistics,2022-02-14,2022-03-05,Office Supplies,Pending,1007,52.44,46.06,167.0,Yes,19.0,946.0,6424.659999999995,Pending,0,60+
PO-00050,Alpha_Inc,2023-04-16,2023-04-26,MRO,Pending,736,16.2,15.33,18.0,Yes,10.0,529.0,640.3199999999995,Pending,0,60+
PO-00051,Epsilon_Group,2023-07-04,2023-07-14,Electronics,Delivered,1007,22.56,19.59,0.0,Yes,10.0,450.0,2990.789999999999,On Time,0,60+
PO-00052,Delta_Logistics,2022-05-08,,Office Supplies,Delivered,612,20.99,19.75,102.0,Yes,,0.0,758.8799999999991,On Time,0,Not Past Due
PO-00053,Alpha_Inc,2023-01-23,2023-02-02,MRO,Pending,1949,72.53,63.26,48.0,No,10.0,612.0,18067.230000000007,Pending,0,60+
PO-00054,Delta_Logistics,2022-03-22,2022-03-28,Office Supplies,Cancelled,1640,77.92,76.41,262.0,No,6.0,923.0,2476.4000000000083,On Time,0,60+
PO-00055,Beta_Supplies,2023-07-20,2023-08-07,Electronics,Delivered,1317,68.13,60.52,136.0,Yes,18.0,426.0,10022.36999999999,Delayed,0,60+
PO-00056,Epsilon_Group,2022-10-28,2022-10-30,Raw Materials,Delivered,881,100.94,95.05,30.0,Yes,2.0,707.0,5189.09,On Time,0,60+
PO-00057,Delta_Logistics,2023-10-06,,Packaging,Delivered,1578,48.33,42.77,206.0,Yes,,0.0,8773.679999999993,On Time,0,Not Past Due
PO-00058,Delta_Logistics,2023-09-26,2023-10-01,MRO,Delivered,1204,39.29,35.44,0.0,Yes,5.0,371.0,4635.4000000000015,On Time,0,60+
PO-00059,Epsilon_Group,2023-01-06,2023-01-22,MRO,Pending,1558,93.46,91.27,39.0,Yes,16.0,623.0,3412.0199999999963,Pending,0,60+
PO-00060,Alpha_Inc,2023-08-15,2023-08-16,Packaging,Delivered,1892,32.99,28.81,35.0,Yes,1.0,417.0,7908.560000000006,On Time,0,60+
PO-00061,Epsilon_Group,2022-07-16,2022-08-01,Packaging,Delivered,696,99.59,90.18,25.0,Yes,16.0,797.0,6549.359999999998,Delayed,0,60+
PO-00062,Delta_Logistics,2023-12-23,2024-01-03,MRO,Partially Delivered,70,12.37,11.04,10.0,Yes,11.0,277.0,93.10000000000001,On Time,0,60+
PO-00063,Gamma_Co,2022-03-13,2022-03-15,Raw Materials,Delivered,890,98.26,93.14,49.0,Yes,2.0,936.0,4556.800000000004,On Time,0,60+
PO-00064,Alpha_Inc,2022-02-16,2022-03-04,MRO,Delivered,216,13.95,12.31,5.0,Yes,16.0,947.0,354.2399999999997,Delayed,0,60+
PO-00065,Delta_Logistics,2023-11-09,2023-11-12,Packaging,Delivered,1347,100.13,94.3,200.0,Yes,3.0,329.0,7853.0099999999975,On Time,0,60+
PO-00066,Gamma_Co,2022-08-22,2022-08-25,Office Supplies,Partially Delivered,437,59.51,56.45,25.0,No,3.0,773.0,1337.219999999998,On Time,0,60+
PO-00067,Alpha_Inc,2022-10-24,2022-10-26,Electronics,Delivered,650,103.84,88.28,12.0,Yes,2.0,711.0,10114.000000000002,On Time,0,60+
PO-00068,Beta_Supplies,2022-03-23,2022-04-11,Office Supplies,Delivered,365,16.81,15.41,38.0,Yes,19.0,909.0,510.9999999999995,Delayed,0,60+
PO-00069,Epsilon_Group,2022-08-27,,Raw Materials,Cancelled,63,61.94,53.8,0.0,Yes,,0.0,512.82,On Time,0,Not Past Due
PO-00070,Alpha_Inc,2022-04-14,2022-04-22,MRO,Delivered,291,98.7,87.02,9.0,Yes,8.0,898.0,3398.880000000002,On Time,0,60+
PO-00071,Alpha_Inc,2023-01-25,2023-02-08,MRO,Cancelled,826,60.5,57.18,18.0,Yes,14.0,606.0,2742.32,On Time,0,60+
PO-00072,Delta_Logistics,2022-10-12,2022-11-01,Electronics,Pending,1419,69.64,59.28,194.0,Yes,20.0,705.0,14700.839999999998,Pending,0,60+
PO-00073,Gamma_Co,2023-04-10,2023-04-27,Office Supplies,Delivered,614,78.06,73.95,40.0,Yes,17.0,528.0,2523.5399999999995,Delayed,0,60+
PO-00074,Alpha_Inc,2023-10-13,2023-10-28,Electronics,Delivered,947,56.25,54.25,19.0,Yes,15.0,344.0,1894.0,Delayed,0,60+
PO-00075,Epsilon_Group,2023-01-09,2023-01-28,Raw Materials,Delivered,1413,70.47,69.65,0.0,Yes,19.0,617.0,1158.6599999999903,Delayed,0,60+
PO-00076,Alpha_Inc,2022-06-16,,Office Supplies,Partially Delivered,141,64.15,58.32,0.0,Yes,,0.0,822.0300000000008,On Time,0,Not Past Due
PO-00077,Alpha_Inc,2023-01-15,2023-02-04,Office Supplies,Delivered,1440,96.57,83.87,36.0,Yes,20.0,610.0,18287.999999999985,Delayed,0,60+
PO-00078,Delta_Logistics,2022-12-30,2023-01-03,Raw Materials,Delivered,1005,14.87,12.79,0.0,No,4.0,642.0,2090.4,On Time,0,60+
PO-00079,Alpha_Inc,2022-08-03,,MRO,Delivered,1528,36.52,33.0,31.0,No,,0.0,5378.560000000005,On Time,0,Not Past Due
PO-00080,Gamma_Co,2023-11-18,2023-11-25,MRO,Delivered,1501,106.05,100.99,77.0,No,7.0,316.0,7595.060000000003,On Time,0,60+
PO-00081,Delta_Logistics,2022-10-01,2022-10-04,Packaging,Delivered,558,94.18,81.4,0.0,No,3.0,733.0,7131.240000000001,On Time,0,60+
PO-00082,Beta_Supplies,2023-12-20,2023-12-26,MRO,Delivered,825,56.88,50.84,0.0,Yes,6.0,285.0,4982.999999999999,On Time,0,60+
PO-00083,Beta_Supplies,2023-12-01,2023-12-07,Electronics,Cancelled,84,73.38,71.42,9.0,Yes,6.0,304.0,164.63999999999947,On Time,0,60+
PO-00084,Delta_Logistics,2023-10-26,2023-11-10,Raw Materials,Delivered,255,38.64,33.59,27.0,No,15.0,331.0,1287.7499999999993,Delayed,0,60+
PO-00085,Gamma_Co,2022-03-15,2022-03-31,MRO,Delivered,1154,27.2,26.07,58.0,Yes,16.0,920.0,1304.0199999999988,Delayed,0,60+
PO-00086,Delta_Logistics,2023-09-16,2023-09-24,Office Supplies,Delivered,1635,56.91,54.37,262.0,No,8.0,378.0,4152.899999999999,On Time,0,60+
PO-00087,Delta_Logistics,2023-10-13,2023-10-23,Raw Materials,Delivered,1945,46.19,40.12,278.0,No,10.0,349.0,11806.150000000001,On Time,0,60+
PO-00088,Delta_Logistics,2022-06-25,2022-07-10,MRO,Partially Delivered,1461,64.09,63.39,228.0,No,15.0,819.0,1022.7000000000041,On Time,0,60+
PO-00089,Delta_Logistics,2023-07-01,2023-07-09,Electronics,Delivered,1075,18.53,16.12,147.0,Yes,8.0,455.0,2590.75,On Time,0,60+
PO-00090,Alpha_Inc,2022-09-08,,Packaging,Delivered,1071,101.6,93.91,25.0,Yes,,0.0,8235.989999999998,On Time,0,Not Past Due
PO-00091,Epsilon_Group,2022-06-17,2022-07-06,Packaging,Pending,1463,101.23,86.17,43.0,Yes,19.0,823.0,22032.780000000002,Pending,0,60+
PO-00092,Beta_Supplies,2023-04-19,2023-04-26,Raw Materials,Delivered,615,78.3,73.68,69.0,Yes,7.0,529.0,2841.2999999999943,On Time,0,60+
PO-00093,Gamma_Co,2023-01-24,2023-02-11,Electronics,Delivered,1179,61.74,56.28,0.0,Yes,18.0,603.0,6437.340000000001,Delayed,0,60+
PO-00094,Alpha_Inc,2022-10-04,2022-10-09,Electronics,Partially Delivered,1845,39.56,37.63,45.0,Yes,5.0,728.0,3560.8499999999995,On Time,0,60+
PO-00095,Beta_Supplies,2023-10-18,,Electronics,Cancelled,1895,91.98,86.27,170.0,Yes,,0.0,10820.450000000015,On Time,0,Not Past Due
